#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
1,продокторов,0%,нет,1%,-1,3478
2,офтальмолог,80%,да,43%,0,4385
3,про докторов,0%,нет,1%,-1,2137
4,гогиберидзе отари,0%,нет,0%,-1,10000
5,2 детская поликлиника,70%,да,0%,-1,
6,клиника сова волгоград,70%,нет,42%,0,
7,мир здоровья кострома,80%,нет,0%,-1,
8,3 детская поликлиника,70%,да,54%,0,
9,областная больница детская,40%,да,0%,-1,
10,воронеж сова клиника,90%,нет,50%,0,
11,хирург торакальный,60%,да,41%,0,
12,6 детская поликлиника,38%,да,0%,-1,
13,на тимура фрунзе лечебный центр,80%,да,48%,0,
14,диксион орел,0%,нет,9%,-1,
15,ульяновск академия,90%,нет,49%,0,
16,медикал прайм брянск,70%,нет,32%,-1,
17,краснодар продокторов,70%,нет,35%,0,
18,иваново медис,70%,нет,42%,0,
19,73 доктор,0%,нет,0%,-1,
20,поликлиника 10,70%,да,0%,-1,
21,поликлиника 16,75%,да,0%,-1,
22,рязань клиника семейная,90%,нет,42%,0,
23,здоровый ребенок,0%,нет,25%,-1,
24,современной медицины иваново клиника,70%,нет,57%,0,
25,гомеопат,70%,да,50%,0,
26,сочи армед,90%,нет,35%,0,
27,железнодорожный медгарант медицинский центр,40%,нет,21%,-1,
28,детская поликлиника 8,89%,да,0%,-1,
29,продокторов ру,0%,нет,0%,-1,
30,больница ильинская,0%,нет,5%,-1,
31,онколог,70%,да,43%,0,
32,репродуктолог,60%,да,49%,0,
33,поликлиника нальчик центральная,60%,нет,35%,0,
34,40 больница екатеринбург,90%,нет,68%,1,
35,точка опоры орел,0%,нет,8%,-1,
36,клиника нева тольятти,90%,нет,59%,0,
37,црб коломна,60%,нет,35%,0,
38,воронеж продокторов,80%,нет,42%,0,
39,рязань клиника надежда,80%,нет,47%,0,
40,семейной медицины владимир клиника,60%,нет,39%,0,
41,клиника семейная тула,90%,нет,42%,0,
42,про докторов краснодар,70%,нет,36%,0,
43,областная стоматологическая поликлиника,60%,да,40%,0,
44,сосудистый хирург,80%,да,49%,0,
45,клиника эксперт пермь,90%,нет,59%,0,
46,электросталь медицинский центр контракт,50%,нет,30%,-1,
47,лекарь губернский мурманск,50%,нет,26%,-1,
48,новомосковск здоровье,80%,нет,0%,-1,
49,семейная клиника брянск,70%,нет,38%,0,
50,онлайн психолог детский,0%,нет,6%,-1,
51,новосибирск электронная регистратура,80%,нет,0%,-1,
52,сергиев посад парацельс,100%,нет,56%,0,
53,москва психотерапевт,100%,нет,66%,1,
54,больница 83,50%,да,30%,-1,
55,детский стоматолог,90%,да,47%,0,
56,продокторов новосибирск,70%,нет,35%,0,
57,здоровье центр медицинский великий новгород,80%,нет,68%,1,
58,гастроэнтеролог детский,100%,да,92%,1,
59,мурманск гларус,70%,нет,54%,0,
60,домодедово бобер,100%,нет,73%,1,
61,медицинский центр надежда липецк,80%,нет,51%,0,
62,лмед в новомосковске,50%,нет,31%,-1,
63,аксис 1130 в зеленограде,0%,нет,8%,-1,
64,клиника женского здоровья,40%,да,0%,-1,
65,курск детская поликлиника 8,60%,нет,43%,0,
66,воронеж стоматология,100%,нет,71%,1,
67,диагностический центр брянск,70%,нет,61%,0,
68,продокторов ростов на дону,70%,нет,43%,0,
69,10 роддом,70%,да,28%,-1,
70,пенза клиника фомина,90%,нет,37%,0,
71,эксперт клиника курск,90%,нет,44%,0,
72,белгород детская поликлиника 4,90%,нет,0%,-1,
73,медика псков,80%,нет,36%,0,
74,7 поликлиника детская рязань,100%,нет,0%,-1,
75,мед альфа,50%,да,38%,0,
76,консультация 2 женская,60%,да,38%,0,
77,волгоград клиника маргоша,60%,нет,0%,-1,
78,офтальмолог детский,90%,да,50%,0,
79,поликлиника центральная,60%,да,0%,-1,
80,стоматолог ортодонт,80%,да,42%,0,
81,тольятти медгард,100%,нет,68%,1,
82,про докторов воронеж,80%,нет,49%,0,
83,фламинго мед мурманск,60%,нет,59%,0,
84,электронная регистратура саратов,60%,нет,0%,-1,
85,архангельск гиппократ,100%,нет,56%,0,
86,18 поликлиника,89%,да,49%,0,
87,великий новгород здоровье,70%,нет,59%,0,
88,медгард набережные челны,0%,нет,0%,-1,
89,спб психотерапевт,100%,нет,71%,1,
90,пластический хирург,80%,да,43%,0,
91,6 поликлиника свиблово,30%,да,56%,0,
92,астрахань новая поликлиника,100%,нет,50%,0,
93,гито нижний новгород,90%,нет,56%,0,
94,фэнтези детская клиника,0%,нет,0%,-1,
95,любимый доктор пермь,70%,нет,44%,0,
96,поликлиника 51,86%,да,0%,-1,
97,уролог детский,70%,да,59%,0,
98,17 детская поликлиника,63%,да,0%,-1,
99,детская 5 поликлиника курск,60%,нет,0%,-1,
100,дубна клиника днк,90%,да,57%,0,
101,медицинский центр семья ростов на дону,100%,нет,43%,0,
102,чебоксары республиканская стоматологическая поликлиника,70%,нет,50%,0,
103,ростов на дону детская областная больница,90%,нет,49%,0,
