#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
1,авто авто,70%,да,76%,1,2883
2,авто ру,14%,да,66%,1,2896
3,автору,10%,да,13%,-1,4220
4,машины,0%,нет,45%,0,9999
5,auto ru,0%,нет,13%,-1,
6,гелик,0%,нет,38%,0,
7,купить авто на авто,70%,да,60%,0,
8,додж челленджер,20%,да,34%,-1,
9,марк 2 2,0%,нет,18%,-1,
10,поло фольксваген,60%,да,77%,1,
11,форд мустанг,30%,да,55%,0,
12,круз шевроле,20%,да,36%,0,
13,шевроле нива,20%,да,29%,-1,
14,ниссан кашкай,60%,да,61%,0,
15,логан рено,50%,да,49%,0,
16,тойота рав 4 4,20%,да,22%,-1,
17,бмв е34,20%,да,23%,-1,
18,шевроле камаро,0%,нет,46%,0,
19,дастер рено,40%,да,53%,0,
20,2 марк,0%,нет,18%,-1,
21,купить в днр авто,0%,нет,63%,0,
22,ниссан альмера,40%,да,57%,0,
23,авто купить в днр,0%,нет,63%,0,
24,ауто ру,14%,да,66%,1,
25,x 5 5,0%,нет,40%,0,
26,купить квадроцикл,90%,да,99%,1,
27,мотоцикл купить,80%,да,100%,1,
28,хонда аккорд,30%,да,30%,-1,
29,лачетти шевроле,30%,да,33%,-1,
30,новый москвич цена 2023,30%,да,62%,0,
31,хендай акцент,40%,да,32%,-1,
32,а4 ауди,50%,да,42%,0,
33,авео шевроле,30%,да,40%,0,
34,жук ниссан,50%,да,38%,0,
35,nissan gtr,30%,да,34%,-1,
36,авто ру авто с пробегом по россии,0%,нет,49%,0,
37,запрещена стоянка знак,0%,нет,0%,-1,
38,авто ру москва и московская область авто,70%,нет,57%,0,
39,auto,30%,да,29%,-1,
40,форд фокус 2,20%,да,24%,-1,
41,2106 ваз,13%,да,30%,-1,
42,туарег фольксваген,40%,да,54%,0,
43,шевроле тахо,50%,да,52%,0,
44,фольксваген пассат,40%,да,51%,0,
45,авто с пробегом купить,40%,да,99%,1,
46,шевроле ланос,30%,да,28%,-1,
47,2109 ваз,25%,да,29%,-1,
48,дкп продажа автомобиля,0%,нет,16%,-1,
49,кобальт шевроле,0%,нет,30%,-1,
50,пикап русский,0%,нет,7%,-1,
51,шкода фабия,20%,да,27%,-1,
52,авто с пробегом,40%,да,100%,1,
53,авто ру москва и московская область купить,100%,нет,98%,1,
54,купить авто в лнр,0%,нет,72%,1,
55,а8 ауди,56%,да,42%,0,
56,ауди тт,20%,да,30%,-1,
57,ауди а7,50%,да,53%,0,
58,лексус 570,40%,да,34%,-1,
59,гольф фольксваген,60%,да,65%,0,
60,авто москва ру,90%,нет,80%,1,
61,террано ниссан,40%,да,46%,0,
62,фокус 3 форд,20%,да,23%,-1,
63,ниссан теана,40%,да,31%,-1,
64,кадиллак эскалейд,30%,да,49%,0,
65,р8 ауди,0%,нет,22%,-1,
66,мерседес спринтер,40%,да,54%,0,
67,jetta va3,0%,нет,55%,0,
68,крузер ленд,30%,да,31%,-1,
69,акула мерседес,0%,нет,50%,0,
70,мерседес е200,50%,да,68%,1,
71,додж рам,0%,нет,56%,0,
72,импреза субару,33%,да,33%,-1,
73,308 пежо,30%,да,30%,-1,
74,мерседес купить,80%,да,99%,1,
75,жук фольксваген,10%,да,29%,-1,
76,меган рено,20%,да,23%,-1,
77,сузуки витара гранд,20%,да,42%,0,
78,bmw e34,20%,да,23%,-1,
79,крузак 200,0%,нет,45%,0,
80,селика тойота,20%,да,39%,0,
81,фьюжн форд,20%,да,23%,-1,
82,форд эксплорер,30%,да,40%,0,
83,параллельная парковка,0%,нет,0%,-1,
84,паджеро митсубиси,30%,да,34%,-1,
85,гтр ниссан,40%,да,48%,0,
86,чайзер,0%,нет,39%,0,
87,куга форд,30%,да,31%,-1,
88,ниссан мурано,60%,да,53%,0,
89,ваз 2105,50%,да,30%,-1,
90,bmw e39,20%,да,22%,-1,
91,китайские автомобили марки,10%,да,39%,0,
92,honda civic,33%,да,41%,0,
93,ваз 21 21,40%,да,54%,0,
94,м5 бмв е60,10%,да,22%,-1,
95,ваз 2111,50%,да,45%,0,
96,ниссан икстрейл,40%,да,45%,0,
97,лансер,40%,да,51%,0,
98,машина мустанг,0%,нет,35%,0,
99,шевроле каптива,10%,да,26%,-1,
100,m5 f90 bmw,40%,да,51%,0,
101,200 ленд крузер,40%,да,28%,-1,
102,авто в луганске купить,0%,нет,83%,1,
103,смарт машина,30%,да,37%,0,
104,снегоход купить,100%,да,100%,1,
105,опель корса,30%,да,37%,0,
106,чарджер додж,0%,нет,46%,0,
107,урус,0%,нет,31%,-1,
108,рено флюенс,30%,да,24%,-1,
109,е38 бмв,0%,нет,27%,-1,
110,газ 24,20%,да,20%,-1,
111,тойота танк,0%,нет,32%,-1,
112,volkswagen polo,70%,да,77%,1,
113,машина красная,0%,нет,22%,-1,
114,а5 ауди,60%,да,53%,0,
115,авто бу,80%,да,100%,1,
116,семерка машина,30%,да,30%,-1,
117,ваз 2103,50%,да,30%,-1,
118,тойота ярис,20%,да,23%,-1,
119,camaro chevrolet,30%,да,43%,0,
120,купить авто с пробегом в москве,0%,нет,99%,1,
121,суперб шкода,40%,да,46%,0,
122,фольксваген бора,40%,нет,32%,-1,
123,ноут ниссан,30%,да,37%,0,
124,сайбер волга,10%,да,19%,-1,
125,24 волга,83%,да,34%,-1,
126,лифтбек,0%,нет,56%,0,
127,сколько тесла стоит,0%,нет,92%,1,
128,сколько стоит тесла,0%,нет,92%,1,
129,тесла сколько стоит,0%,нет,87%,1,
130,ауди 80,50%,да,42%,0,
131,авто самара авто с пробегом,100%,нет,100%,1,
132,2107 ваз купить,60%,да,98%,1,
133,корвет шевроле,40%,да,55%,0,
134,аурис тойота,20%,да,37%,0,
135,форд 4 4,10%,да,31%,-1,
136,опель астра h,40%,да,23%,-1,
137,r8 audi,20%,да,19%,-1,
138,тойота виш,40%,да,38%,0,
139,e60 bmw,30%,да,24%,-1,
140,ли 9,0%,нет,41%,0,
141,продажа авто на авто,50%,да,93%,1,
142,знак главная дорога,0%,нет,0%,-1,
143,купить электромобиль,60%,да,100%,1,
144,ф90 м5,0%,нет,41%,0,
145,авалон тойота,20%,да,30%,-1,
146,ауди q8,40%,да,52%,0,
147,шипы или липучка,0%,нет,1%,-1,
148,договор продажи авто авто ру,10%,да,20%,-1,
149,договор купли продажи авто ру,0%,нет,14%,-1,
150,каравелла фольксваген,40%,да,78%,1,
151,мерседес класс е,0%,нет,53%,0,
152,альмера ниссан классик,20%,да,29%,-1,
153,lamborghini urus,0%,нет,46%,0,
154,китайские авто,30%,да,73%,1,
155,купить рено логан,90%,да,100%,1,
156,рио 3 киа,20%,да,23%,-1,
157,cls amg 63,0%,нет,38%,0,
158,сузуки сх4,60%,да,49%,0,
159,форд фиеста,40%,да,49%,0,
160,датсун он до,50%,да,37%,0,
161,карина тойота,30%,да,51%,0,
162,стоянка запрещена,0%,нет,0%,-1,
163,суздаль достопримечательности,100%,нет,25%,-1,
164,мтз 82,60%,да,59%,0,
165,газ 21,10%,да,18%,-1,
166,lancer mitsubishi,20%,да,38%,0,
167,авто ру авто с пробегом москва и московская область,50%,нет,100%,1,
168,опель инсигния,30%,да,31%,-1,
169,mazda rx 7,0%,нет,23%,-1,
170,99 машина,38%,да,36%,0,
171,мерседес 123,30%,да,32%,-1,
172,спортивные машины,20%,да,24%,-1,
173,a6 audi,60%,да,54%,0,
174,знак уступи дорогу,0%,нет,0%,-1,
175,хендай портер,40%,да,42%,0,
176,мазда рх7,0%,нет,31%,-1,
177,категория в1 в правах что обозначает,0%,нет,1%,-1,
178,спб авто ру,40%,нет,37%,0,
179,тойота филдер,29%,да,31%,-1,
180,пассо тойота,30%,да,34%,-1,
181,пазик,0%,нет,39%,0,
182,3102 газ,30%,да,22%,-1,
183,tiggo chery 4,50%,да,64%,0,
184,е60 м5,0%,нет,21%,-1,
185,бустер что такое,0%,нет,0%,-1,
186,купить нива 4х4,50%,да,87%,1,
187,авто ру купить авто,25%,да,92%,1,
188,москвич 6 фото,0%,нет,30%,-1,
189,лада cross x 5,0%,нет,41%,0,
190,буханка уаз купить,60%,да,98%,1,
191,сколько стоит гелик,0%,нет,72%,1,
192,сколько гелик стоит,0%,нет,73%,1,
193,l9 li auto,0%,нет,52%,0,
194,тойота сиента,20%,да,28%,-1,
195,406 пежо,20%,да,18%,-1,
196,легаси субару,40%,да,49%,0,
197,авт,20%,да,32%,-1,
198,гтд,0%,нет,1%,-1,
199,ваз 21 0 0,10%,да,37%,0,
200,микра ниссан,20%,да,18%,-1,
201,лачетти,30%,да,42%,0,
