#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
1,яндекс еда,0%,нет,15%,-1,2810
2,и точка вкусно,0%,нет,26%,-1,4414
3,пицца,60%,да,57%,0,2776
4,кфс,40%,да,36%,0,10000
5,суши вок,30%,да,22%,-1,
6,яндекс доставка,0%,нет,49%,0,
7,лавка яндекс,0%,нет,29%,-1,
8,меню кфс,30%,да,72%,1,
9,ебидоеби,0%,нет,17%,-1,
10,му му,60%,да,29%,-1,
11,суши,100%,да,72%,1,
12,пицца заказать додо,60%,да,45%,0,
13,пицца додо заказать с доставкой,70%,да,40%,0,
14,папа джонс,60%,да,30%,-1,
15,еда,10%,да,8%,-1,
16,якитория,80%,да,38%,0,
17,доставка еды,60%,да,83%,1,
18,чипсы,0%,нет,30%,-1,
19,kfc,40%,да,22%,-1,
20,пицца доминос,40%,да,23%,-1,
21,пицца вок суши,50%,да,18%,-1,
22,вкусвилл доставка,20%,да,41%,0,
23,ями ями,0%,нет,25%,-1,
24,теремок,30%,да,29%,-1,
25,ростикс,40%,да,38%,0,
26,суши мастер,70%,да,49%,0,
27,ашан каталог товаров и цены,50%,да,96%,1,
28,суши даром,60%,да,45%,0,
29,фабрика пицца,40%,да,38%,0,
30,магнит доставка,20%,да,57%,0,
31,пятерочка доставка,20%,да,44%,0,
32,шоколад,40%,да,86%,1,
33,суши сет,60%,да,23%,-1,
34,доставка вкусно и точка,0%,нет,68%,1,
35,яндекс еда доставка,40%,да,33%,-1,
36,суши маркет,40%,да,45%,0,
37,синабон,10%,да,30%,-1,
38,шоколадница,30%,да,22%,-1,
39,торты,70%,да,78%,1,
40,суши шоп,60%,да,46%,0,
41,старик хинкалыч,0%,нет,23%,-1,
42,хачапури и вино,0%,нет,28%,-1,
43,пироги осетинские,60%,да,48%,0,
44,доминос,0%,нет,22%,-1,
45,а4 пицца,50%,да,25%,-1,
46,пицца куба,10%,да,38%,0,
47,суши стор,60%,да,38%,0,
48,ааа,0%,нет,60%,0,
49,лавка,10%,да,22%,-1,
50,милти,0%,нет,35%,0,
51,рыба важная,0%,нет,16%,-1,
52,ташир пицца,60%,да,38%,0,
53,ебидаеби,0%,нет,23%,-1,
54,хлеб,0%,нет,25%,-1,
55,много лосося,0%,нет,24%,-1,
56,шашлыкофф,80%,да,37%,0,
57,капкейки,40%,да,39%,0,
58,by basta frank,0%,нет,16%,-1,
59,вкус вилл интернет магазин доставка на дом,20%,да,44%,0,
60,пицца рико,30%,да,46%,0,
61,прайм,40%,да,22%,-1,
62,суши доставка,100%,да,73%,1,
63,суши бокс,40%,да,44%,0,
64,шашлык,30%,да,21%,-1,
65,роллы заказать,100%,да,100%,1,
66,пират пицца,70%,да,45%,0,
67,пятерочка купить онлайн,0%,нет,91%,1,
68,доставка кфс,70%,да,61%,0,
69,пиццу заказать,90%,да,100%,1,
70,картошка крошка,40%,да,32%,-1,
71,майбокс,0%,нет,26%,-1,
72,кофемания,0%,нет,23%,-1,
73,ростикс меню,30%,да,55%,0,
74,domino s pizza,0%,нет,29%,-1,
75,surf coffee,40%,да,22%,-1,
76,бургер,10%,да,14%,-1,
77,мармелад,0%,нет,66%,1,
78,энергетик,10%,да,39%,0,
79,тануки меню,80%,да,75%,1,
80,суши заказать,80%,да,97%,1,
81,макдональдс меню,10%,да,78%,1,
82,лангустины,30%,да,40%,0,
83,king burger,20%,да,15%,-1,
84,круассан,0%,нет,16%,-1,
85,каталог товаров ашан,40%,да,98%,1,
86,перекресток купить онлайн,0%,нет,87%,1,
87,пицца ниндзя,0%,нет,46%,0,
88,заказать еду,80%,да,67%,1,
89,еду заказать,80%,да,80%,1,
90,доставка бургер кинг,0%,нет,75%,1,
91,баста фрэнк бай,0%,нет,16%,-1,
92,пиццы империя,60%,да,38%,0,
93,перекресток доставка,50%,да,40%,0,
94,папа карло,60%,да,36%,0,
95,джонджоли,0%,нет,16%,-1,
96,буше,0%,нет,15%,-1,
97,меню шоколадница,50%,да,83%,1,
98,грабли,40%,да,49%,0,
99,пицца заказать с доставкой,80%,да,100%,1,
100,пицца заказать с доставкой доминос,50%,да,55%,0,
101,ерш,20%,да,14%,-1,
102,гирос,10%,да,0%,-1,
103,доставка ями ями спб,40%,нет,36%,0,
104,kfs,0%,нет,15%,-1,
105,теремок меню,40%,да,57%,0,
106,тула мама мия,70%,нет,32%,-1,
107,пицца мия,10%,да,28%,-1,
108,суши весла,40%,да,24%,-1,
109,ями ями доставка,30%,да,25%,-1,
110,италиан пицца,10%,да,44%,0,
111,хат пицца,60%,да,31%,-1,
112,тайм суши,30%,да,44%,0,
113,сабвей,30%,да,29%,-1,
114,каталог улыбка радуги,20%,да,87%,1,
115,якитория доставка,50%,да,56%,0,
116,штолле пироги заказать,70%,да,60%,0,
117,меню и цены кфс,30%,да,83%,1,
118,сахалин ресторан,0%,нет,29%,-1,
119,штолле пироги,70%,да,37%,0,
120,пицца заказать с доставкой москва додо,80%,нет,40%,0,
121,братья караваевы,0%,нет,29%,-1,
122,лента доставка,40%,да,47%,0,
123,якитория меню,60%,да,65%,0,
124,сыто пьяно,0%,нет,18%,-1,
125,фарш,0%,нет,29%,-1,
126,шаверма,0%,нет,8%,-1,
127,суши вок заказать,60%,да,55%,0,
128,пиццы доставка,90%,да,100%,1,
129,суши просто,20%,да,30%,-1,
130,просто суши,20%,да,37%,0,
131,дворик пироговый,0%,нет,23%,-1,
132,заказать суши с доставкой,80%,да,100%,1,
133,чайхона номер 1,0%,нет,29%,-1,
134,папа джонс доставка пиццы,50%,да,45%,0,
135,пицца доминос заказать,50%,да,63%,0,
136,социальные суши,20%,да,35%,0,
137,mybox,50%,да,45%,0,
138,меню и цены kfc,20%,да,74%,1,
139,экомаркет,30%,да,17%,-1,
140,меню и цены бургер кинг,0%,нет,78%,1,
141,пиццерия,80%,да,51%,0,
142,моремания меню,30%,да,64%,0,
143,турандот ресторан,60%,да,36%,0,
144,сытый лось,0%,нет,8%,-1,
145,суши роллы,80%,да,63%,0,
146,чука,0%,нет,29%,-1,
147,нори,10%,да,42%,0,
