#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
1,продокторов,0%,нет,1%,-1,3512
2,офтальмолог,80%,да,43%,0,4406
3,про докторов,0%,нет,1%,-1,2082
4,гогиберидзе отари,0%,нет,0%,-1,10000
5,2 детская поликлиника,70%,да,0%,-1,
6,клиника сова волгоград,70%,нет,35%,0,
7,мир здоровья кострома,80%,нет,50%,0,
8,3 детская поликлиника,60%,да,48%,0,
9,областная больница детская,40%,да,28%,-1,
10,воронеж сова клиника,80%,нет,47%,0,
11,хирург торакальный,80%,да,69%,1,
12,6 детская поликлиника,50%,да,0%,-1,
13,на тимура фрунзе лечебный центр,70%,да,0%,-1,
14,диксион орел,0%,нет,4%,-1,
15,ульяновск академия,90%,нет,56%,0,
16,медикал прайм брянск,70%,нет,33%,-1,
17,краснодар продокторов,80%,нет,42%,0,
18,иваново медис,60%,нет,50%,0,
19,73 доктор,0%,нет,0%,-1,
20,поликлиника 10,60%,да,0%,-1,
21,поликлиника 16,63%,да,31%,-1,
22,рязань клиника семейная,100%,нет,68%,1,
23,здоровый ребенок,0%,нет,32%,-1,
24,современной медицины иваново клиника,70%,нет,60%,0,
25,гомеопат,70%,да,43%,0,
26,сочи армед,90%,нет,35%,0,
27,железнодорожный медгарант медицинский центр,60%,нет,34%,-1,
28,детская поликлиника 8,75%,да,0%,-1,
29,продокторов ру,0%,нет,0%,-1,
30,больница ильинская,0%,нет,5%,-1,
31,онколог,70%,да,36%,0,
32,репродуктолог,70%,да,57%,0,
33,поликлиника нальчик центральная,60%,нет,35%,0,
34,40 больница екатеринбург,90%,нет,57%,0,
35,точка опоры орел,0%,нет,9%,-1,
36,клиника нева тольятти,80%,нет,53%,0,
37,црб коломна,60%,нет,35%,0,
38,воронеж продокторов,80%,нет,58%,0,
39,рязань клиника надежда,80%,нет,56%,0,
40,семейной медицины владимир клиника,50%,нет,50%,0,
41,клиника семейная тула,90%,нет,50%,0,
42,про докторов краснодар,70%,нет,36%,0,
43,областная стоматологическая поликлиника,60%,да,47%,0,
44,сосудистый хирург,70%,да,43%,0,
45,клиника эксперт пермь,100%,нет,60%,0,
46,электросталь медицинский центр контракт,60%,нет,29%,-1,
47,лекарь губернский мурманск,50%,нет,32%,-1,
48,новомосковск здоровье,80%,нет,0%,-1,
49,семейная клиника брянск,70%,нет,38%,0,
50,онлайн психолог детский,0%,нет,10%,-1,
51,новосибирск электронная регистратура,80%,нет,0%,-1,
52,сергиев посад парацельс,100%,нет,59%,0,
53,москва психотерапевт,100%,нет,73%,1,
54,больница 83,50%,да,23%,-1,
55,детский стоматолог,80%,да,43%,0,
56,продокторов новосибирск,60%,нет,35%,0,
57,здоровье центр медицинский великий новгород,70%,нет,59%,0,
58,гастроэнтеролог детский,100%,да,73%,1,
59,мурманск гларус,80%,нет,63%,0,
60,домодедово бобер,100%,нет,73%,1,
61,медицинский центр надежда липецк,80%,нет,59%,0,
62,лмед в новомосковске,60%,нет,38%,0,
63,аксис 1130 в зеленограде,0%,нет,8%,-1,
64,клиника женского здоровья,50%,да,0%,-1,
65,курск детская поликлиника 8,60%,нет,0%,-1,
66,воронеж стоматология,100%,нет,70%,1,
67,диагностический центр брянск,70%,нет,49%,0,
68,продокторов ростов на дону,40%,нет,21%,-1,
69,10 роддом,80%,да,42%,0,
70,пенза клиника фомина,70%,нет,32%,-1,
71,эксперт клиника курск,90%,нет,44%,0,
72,белгород детская поликлиника 4,90%,нет,49%,0,
73,медика псков,80%,нет,36%,0,
74,7 поликлиника детская рязань,100%,нет,56%,0,
75,мед альфа,50%,да,38%,0,
76,консультация 2 женская,70%,да,58%,0,
77,волгоград клиника маргоша,60%,нет,35%,0,
78,офтальмолог детский,90%,да,58%,0,
79,поликлиника центральная,50%,да,0%,-1,
80,стоматолог ортодонт,70%,да,42%,0,
81,тольятти медгард,100%,нет,51%,0,
82,про докторов воронеж,80%,нет,50%,0,
83,фламинго мед мурманск,60%,нет,58%,0,
84,электронная регистратура саратов,60%,нет,0%,-1,
85,архангельск гиппократ,100%,нет,68%,1,
86,18 поликлиника,100%,да,56%,0,
87,великий новгород здоровье,80%,нет,68%,1,
88,медгард набережные челны,0%,нет,0%,-1,
89,спб психотерапевт,90%,нет,69%,1,
90,пластический хирург,80%,да,43%,0,
91,6 поликлиника свиблово,30%,да,71%,1,
92,астрахань новая поликлиника,100%,нет,50%,0,
93,гито нижний новгород,80%,нет,49%,0,
94,фэнтези детская клиника,0%,нет,0%,-1,
95,любимый доктор пермь,80%,нет,51%,0,
96,поликлиника 51,86%,да,0%,-1,
97,уролог детский,80%,да,65%,0,
98,17 детская поликлиника,63%,да,0%,-1,
99,детская 5 поликлиника курск,60%,нет,0%,-1,
100,дубна клиника днк,90%,да,58%,0,
101,медицинский центр семья ростов на дону,70%,нет,39%,0,
102,чебоксары республиканская стоматологическая поликлиника,70%,нет,42%,0,
103,ростов на дону детская областная больница,90%,нет,49%,0,
104,детская поликлиника 9,71%,да,0%,-1,
105,поликлиника детская 1 рязань,90%,нет,0%,-1,
106,медпрестиж серпухов,70%,нет,37%,0,
107,юсуповская больница,40%,да,46%,0,
108,москва гастроэнтеролог,100%,нет,67%,1,
109,муром здоровая семья,80%,нет,43%,0,
110,отзывы о врачах,90%,да,50%,0,
111,клиника днк челябинск,90%,нет,59%,0,
112,19 поликлиника детская,75%,да,0%,-1,
113,продокторов белгород,80%,нет,43%,0,
114,брянск семейная клиника бежицкий район,90%,нет,64%,0,
115,железнодорожный медицинский центр ангара,60%,нет,39%,0,
116,александров парацельс,80%,нет,41%,0,
117,мытищи поликлиника 2,50%,нет,37%,0,
118,кдц арбатский,70%,да,53%,0,
119,педиатр врач,80%,да,50%,0,
120,тула клиника эксперт,90%,нет,44%,0,
121,15 больница,75%,да,0%,-1,
122,адлер даниэль,0%,нет,24%,-1,
123,новосибирск про докторов,80%,нет,50%,0,
124,вдовин александр пластический хирург,0%,нет,1%,-1,
125,москва больница 13,100%,нет,42%,0,
126,больница 40,75%,да,43%,0,
127,мой доктор армавир,80%,нет,0%,-1,
128,стоматология ижевск,90%,нет,59%,0,
129,ногинск студия доктор,80%,нет,36%,0,
130,инфекционист врач,60%,да,37%,0,
131,хирург пластический москва,90%,нет,77%,1,
132,тула вирмед,60%,нет,38%,0,
133,бубновский центр отрицательные отзывы,50%,да,21%,-1,
134,77 поликлиника,75%,да,0%,-1,
