#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
1,пегас туристик,30%,да,28%,-1,3066
2,анекс тур,40%,да,87%,1,2517
3,шри ланка,0%,нет,0%,-1,4417
4,абхазия,0%,нет,0%,-1,10000
5,глобус библио,60%,да,41%,0,
6,библио глобус туроператор,0%,нет,34%,-1,
7,банк горящих туров,70%,да,23%,-1,
8,пегас,40%,да,35%,0,
9,египет,0%,нет,0%,-1,
10,турция,0%,нет,15%,-1,
11,корал тревел,30%,да,28%,-1,
12,тревел корал,30%,да,21%,-1,
13,куба,20%,да,16%,-1,
14,турвизор официальный сайт поиск тура,0%,нет,11%,-1,
15,тур тез,30%,да,46%,0,
16,мальдивы,50%,да,37%,0,
17,италия,0%,нет,0%,-1,
18,стамбул,0%,нет,7%,-1,
19,вьетнам,10%,да,7%,-1,
20,кипр,0%,нет,1%,-1,
21,горящие туры,90%,да,100%,1,
22,жд билеты туту ру,10%,да,29%,-1,
23,анекс тур официальный сайт,10%,да,32%,-1,
24,марокко,0%,нет,0%,-1,
25,алеан,10%,да,15%,-1,
26,филиппины,0%,нет,0%,-1,
27,черногория,0%,нет,0%,-1,
28,бали,0%,нет,0%,-1,
29,пхукет,10%,да,13%,-1,
30,библиоглобус тур подбор тура,30%,да,44%,0,
31,санмар,30%,да,43%,0,
32,интурист ялта,0%,нет,27%,-1,
33,оман,0%,нет,0%,-1,
34,пегас туристик подбор тура,40%,да,59%,0,
35,шарм эль шейх,0%,нет,5%,-1,
36,алеан туроператор,10%,да,7%,-1,
37,ибица,0%,нет,0%,-1,
38,анекс тур подбор тура,30%,да,48%,0,
39,в турцию туры,0%,нет,94%,1,
40,coral travel,20%,да,29%,-1,
41,туроператор фан сан,20%,да,36%,0,
42,тунис,10%,да,16%,-1,
43,туи,30%,да,29%,-1,
44,анталия,0%,нет,8%,-1,
45,ямайка,10%,да,22%,-1,
46,гоа,0%,нет,0%,-1,
47,туроператор русский экспресс,30%,да,12%,-1,
48,оаэ столица,0%,нет,0%,-1,
49,хорватия,0%,нет,2%,-1,
50,туроператор санмар,30%,да,43%,0,
51,1001 тур,38%,да,24%,-1,
52,алеан официальный сайт туроператор,20%,да,22%,-1,
53,корал тревел туроператор,10%,да,29%,-1,
54,москва ташкент авиабилеты,100%,нет,72%,1,
55,сейшелы,0%,нет,25%,-1,
56,официальный сайт санмар туроператор,0%,нет,22%,-1,
57,china xxx,0%,нет,36%,0,
58,корал,20%,да,28%,-1,
59,туры,40%,да,55%,0,
60,онлайнтурс,0%,нет,16%,-1,
61,fun sun,0%,нет,37%,0,
62,доминикана,30%,да,23%,-1,
63,туры в египет,0%,нет,89%,1,
64,коста рика,0%,нет,9%,-1,
